,url,rank,page_views_per_million,page_views_per_user
0,https://www.bitstamp.net/,17541,3.22,3.1
1,https://www.okcoin.com,174009,0.27,3.1
2,https://poloniex.com,6865,9.92,4.18
3,https://r.kraken.com/z37qM,7226,10.2,4.6
4,https://bitfinex.com/?refcode=-Dkl7lkv,7994,6.92,3.1
5,https://www.coinbase.com/join/59dba386c59cdf00b7a813d0,2034,33.8,4.85
6,https://localbitcoins.com/?ch=irs1,5278,24.8,10.1
7,https://www.itbit.com,378252,0.09,2.4
8,https://hitbtc.com/?ref_id=5a155b131ea65,14757,4.23,3.6
9,https://www.lakebtc.com/?ref=glqg26,402635,0.1,3.2
10,https://gemini.com/,25782,2.95,4.6
11,https://exmo.com/?ref=731956,40896,1.5,3.4
12,https://yobit.io/?bonus=EJeYX,29435,2.29,3.9
13,https://auth.bitbay.net/ref/ccompare,60627,0.8,2.5
14,https://bitflyer.com/en-us/,5168,10.9,3.3
15,https://tidex.com,196978,0.2,2.5
16,https://www.binance.com/?ref=25258808,1933,38.5,5.43
17,https://www.lykke.com/,437168,0.07,2.2
18,https://www.okex.com,3952,24.3,7.0
19,https://www.exx.com/,220625,0.18,2.6
20,https://www.kucoin.com/#/?r=7c4KeN,13788,5.67,4.9
21,https://graviex.net/,26193,3.09,5.0
22,https://extstock.com/,134666,0.46,4.2
23,https://dsx.uk/register/?pk_campaign=CryptoComTest&pk_source=Cryptocompare&pk_medium=banner&pk_content=ListSponsorship,327826,0.12,2.9
24,https://www.coinex.com,36493,1.91,4.0
25,https://www.bitmart.com,35885,1.63,3.1
26,https://www.bibox.com/,1670,35.0,4.04
27,https://www.zb.com/,5545,14.7,5.4
28,https://www.lbank.info/,7249,12.5,6.1
29,https://exchange.singularity-x.com/,11140656,0.0,2.0
30,https://www.rightbtc.com,246736,0.31,6.6
31,https://big.one/,12824,5.15,3.9
32,https://www.coinbene.com/,50819,1.4,4.3
33,https://www.fcoin.com/,157941,0.47,5.5
34,https://kuna.io/,125314,0.4,3.0
35,https://www.bcex.ca/coins#map,492068,0.08,3.0
36,https://www.liquid.com/,21551,3.17,4.0
37,https://p2pb2b.io/referral/b73786ba-cd3e-436b-98a5-fcffd5ff911b,17183,2.41,2.0
38,https://www.digifinex.com/,1868,39.0,5.29
39,https://www.catex.io/?utm_source=cryptocompare&utm_medium=exchange_list_sponsorship&utm_campaign=31_10_2018,52963,1.14,3.3
41,https://www.zbg.com/,6082,14.0,5.7
42,https://bgogo.com,126390,0.43,3.4
43,https://www.cbx.one/,1945913,0.01,2.0
