url,countries,visitors
https://poloniex.com,MA,1.4%
https://poloniex.com,VN,1.9%
https://poloniex.com,IN,7.0%
https://poloniex.com,KW,0.9%
https://poloniex.com,EG,1.4%
https://poloniex.com,SG,1.6%
https://poloniex.com,TR,4.3%
https://poloniex.com,RU,6.1%
https://poloniex.com,VE,3.8%
https://poloniex.com,TW,2.2%
https://poloniex.com,PK,0.6%
https://poloniex.com,US,7.2%
https://poloniex.com,HK,0.9%
https://poloniex.com,SA,4.2%
https://poloniex.com,NG,2.6%
https://poloniex.com,AR,2.8%
https://poloniex.com,BA,0.7%
https://poloniex.com,CO,1.2%
https://poloniex.com,KR,2.7%
https://poloniex.com,UA,1.1%
https://poloniex.com,BR,17.4%
https://poloniex.com,DO,1.0%
https://poloniex.com,ZA,2.4%
https://poloniex.com,DZ,2.0%
https://poloniex.com,NL,2.2%
https://poloniex.com,CA,2.9%
https://poloniex.com,JP,6.3%
https://poloniex.com,O,9.5%
https://poloniex.com,PE,1.5%
